GEOID,pop,pop_dens,race_white,race_minority,female,age_genz,age_millenial,age_genx,age_boomer,age_retiree,divsep,widowed,median_age,not_us_citizen,median_earnings,trav_cars,trav_trans,trav_motorcycle,trav_bike,trav_walk,trav_home,edu_lowedu,edu_hsged,edu_bs,edu_grad,unemp,below_pov,City,Borough,Class,CasualtiesPerPop,CasualtiesPerPopDens,TotalInjuries,TotalDeaths,Collisions,CasualtiesCount
36081080301,4925,41041.66667,750,4175,2641,864,1616,1295,908,242,364,207,34.7,1560,26183,1025,859,13,10,87,22,300,1539,326,122,123,698,NYC,Queens,1,0.031878173,0.003825381,157,0,660,157
36081050000,4362,33553.84615,174,4188,2064,940,987,1254,883,298,536,319,40.3,752,25683,722,1170,0,0,38,67,264,1593,327,170,257,819,NYC,Queens,1,0.031636864,0.004112792,138,0,442,138
36081060300,1941,27728.57,983,958,897,342,340,708,422,129,154,122,44.6,208,44969,433,482,0,0,39,37,45,710,302,44,88,118,NYC,Queens,1,0.031427099,0.002199897,60,1,410,61
36081133300,3727,13803.7,1982,1745,1929,651,780,964,1015,317,249,233,44,339,48036,860,603,0,0,29,99,186,669,865,526,121,360,NYC,Queens,1,0.031392541,0.008475988,117,0,479,117
36081018402,2440,30500,51,2389,1142,530,579,785,429,117,233,156,38.1,242,31947,555,472,0,0,34,27,122,866,117,77,137,463,NYC,Queens,1,0.031147541,0.002491803,76,0,241,76
36081006300,5204,65050,2958,2246,2768,543,2429,1230,632,370,519,143,32.8,744,42000,285,2613,0,26,152,115,341,1064,1629,631,171,837,NYC,Queens,1,0.0311299,0.002490392,162,0,549,162
36081019800,3117,38962.5,16,3101,1513,959,815,806,476,61,150,99,30.5,727,22650,443,605,0,0,53,11,196,764,175,59,228,1154,NYC,Queens,1,0.031119666,0.002489573,97,0,260,97
36081022001,6012,40080,1625,4387,3415,725,2370,1475,1108,334,573,240,34.6,1004,52482,1191,2065,0,19,66,45,74,1482,1337,767,447,605,NYC,Queens,1,0.030938124,0.004640719,186,0,815,186
36081039400,2986,22969.23077,27,2959,1568,606,690,842,619,229,387,131,40.1,489,31537,802,556,0,0,19,54,92,1153,211,149,340,304,NYC,Queens,1,0.030810449,0.004005358,91,1,278,92
36081122300,4043,21278.95,1534,2509,2221,828,953,1123,908,231,381,263,41.6,392,27383,999,561,0,9,30,50,184,1085,622,268,197,530,NYC,Queens,1,0.030670294,0.005827355,120,4,439,124
36081129102,3624,9292.307692,2118,1506,1612,916,499,1130,724,355,86,187,43.5,245,50050,1069,530,0,0,9,78,50,631,733,548,114,245,NYC,Queens,1,0.030629139,0.011945364,110,1,347,111
36081157901,4848,13466.67,1778,3070,2533,657,1185,1159,1428,419,347,280,48.4,513,49156,1941,401,0,9,63,79,114,1373,978,624,123,160,NYC,Queens,1,0.030321782,0.010915839,145,2,343,147
36081060000,1122,16028.57,10,1112,604,217,228,322,277,78,169,70,45.2,134,47238,343,200,0,0,0,4,9,321,151,173,35,34,NYC,Queens,1,0.03030303,0.002121212,34,0,77,34
36081111300,2391,8855.555556,1220,1171,1211,549,417,711,534,180,203,89,41.5,202,46432,738,331,5,0,8,27,80,465,366,364,144,203,NYC,Queens,1,0.030112923,0.008130489,72,0,316,72
36081026000,2425,34642.86,4,2421,1404,748,811,535,302,29,172,64,27.4,339,21991,340,524,0,0,16,48,43,759,66,25,293,787,NYC,Queens,1,0.030103093,0.002107216,73,0,171,73
36081056400,1432,20457.14286,228,1204,680,390,259,457,272,54,134,52,36.9,186,32096,387,143,0,0,33,0,59,455,174,54,50,128,NYC,Queens,1,0.030027933,0.002101955,43,0,154,43
36081062100,2567,25670,1879,688,1478,535,629,673,563,167,189,106,38.8,182,38802,627,410,0,0,153,22,88,1042,226,91,91,324,NYC,Queens,1,0.029996104,0.00299961,76,1,288,77
36081024000,6402,64020,222,6180,3104,1558,1772,1773,967,332,450,173,33.7,1789,26970,620,1778,0,0,229,17,404,1624,504,229,595,1615,NYC,Queens,1,0.029990628,0.002999063,192,0,762,192
36081077906,3703,33663.63636,2050,1653,1930,836,1030,736,860,241,299,203,33.2,335,36542,670,785,0,0,128,24,210,854,500,482,9,348,NYC,Queens,1,0.029975695,0.003297326,111,0,387,111
36081047800,5506,22024,981,4525,2908,754,1207,1517,1605,423,455,270,45.7,1223,41396,1717,1150,0,0,58,57,240,1224,1210,480,198,196,NYC,Queens,1,0.029967308,0.007491827,165,0,651,165
36081112300,2007,18245.45455,717,1290,974,336,515,665,456,35,188,32,39.5,407,46400,652,328,0,0,41,55,75,418,513,166,139,110,NYC,Queens,1,0.029895366,0.00328849,60,0,508,60
36081157902,3866,13807.14286,1217,2649,2056,584,1165,752,1053,312,69,200,41.3,295,41390,1329,497,0,9,58,16,84,1147,573,325,84,354,NYC,Queens,1,0.029746508,0.008329022,114,1,509,115
36081004300,2660,38000,205,2455,1370,684,659,645,614,58,400,130,33.2,262,25172,189,666,0,27,150,28,71,869,146,96,246,853,NYC,Queens,1,0.029699248,0.002078947,77,2,288,79
36081052400,1516,18950,0,1516,832,245,308,535,343,85,233,129,45.7,168,34792,376,424,0,0,27,21,55,585,145,90,79,134,NYC,Queens,1,0.029683377,0.00237467,45,0,132,45
36081065600,5576,25345.45455,160,5416,3147,1214,1520,1502,1172,168,663,191,35.5,926,37827,1462,1158,0,0,36,83,420,1603,629,296,254,525,NYC,Queens,1,0.029591105,0.006510043,165,0,465,165
36081098100,2401,9604,1435,966,1255,584,421,679,577,140,134,76,41.6,199,52554,687,271,7,0,68,10,66,659,360,149,31,238,NYC,Queens,1,0.029571012,0.007392753,71,0,326,71
36081062600,2913,17135.29412,55,2858,1600,632,552,920,534,275,174,194,40.3,331,41794,781,498,0,0,23,19,90,968,289,187,92,160,NYC,Queens,1,0.029522829,0.005018881,86,0,297,86
36081052000,1695,24214.29,32,1663,957,352,340,525,360,118,144,68,41.9,167,40381,456,411,0,0,19,31,41,569,178,46,73,87,NYC,Queens,1,0.029498525,0.002064896,50,0,111,50
36081001400,3810,47625,616,3194,1854,745,975,1090,839,161,445,174,39.6,587,26089,603,1183,0,0,133,55,146,1072,289,181,220,162,NYC,Queens,1,0.029396325,0.002351706,112,0,394,112
36081018900,3542,44275,1069,2473,1813,575,1079,1048,650,190,379,245,36.4,879,32864,436,1171,0,34,209,71,333,824,596,267,109,481,NYC,Queens,1,0.029361942,0.002348955,104,0,467,104
36081043400,1818,22725,16,1802,960,411,470,429,392,116,191,128,35.5,309,35064,367,494,0,0,0,17,64,522,198,116,111,81,NYC,Queens,1,0.029152915,0.002332233,53,0,114,53
36081040400,4600,25555.55556,30,4570,2705,1192,1246,1013,1027,122,544,195,32,678,27173,922,1010,0,0,48,34,65,1489,323,131,411,689,NYC,Queens,1,0.029130435,0.005243478,134,0,283,134
36081054800,2351,26122.22,124,2227,1204,452,507,697,560,135,198,80,40.1,325,33429,601,448,0,24,38,42,78,707,435,122,68,142,NYC,Queens,1,0.028923862,0.002603148,68,0,221,68
36081152902,5119,12797.5,2028,3091,2818,922,978,1374,1374,471,664,347,44.9,555,51088,1881,513,0,0,86,94,223,1235,1131,598,169,242,NYC,Queens,1,0.028716546,0.011486618,147,0,687,147
36081061400,1324,13240,13,1311,741,243,193,415,365,108,152,89,43.7,191,41528,342,187,0,0,0,4,0,568,157,62,57,49,NYC,Queens,1,0.028700906,0.002870091,37,1,89,38
36081028100,4462,63742.86,1081,3381,2436,384,1086,1273,1537,182,719,388,50.2,1176,32249,398,1834,0,14,215,37,215,1172,1056,417,148,262,NYC,Queens,1,0.028686688,0.002008068,126,2,499,128
36081155102,8665,15754.54545,4299,4366,4703,1396,1860,2373,2101,935,1115,729,45.7,554,58971,3019,1053,0,0,107,113,162,2602,1421,689,357,597,NYC,Queens,1,0.028390075,0.015614541,245,1,905,246
36081015802,4862,44200,276,4586,2359,679,1351,1533,1030,269,279,255,39.5,1081,27265,825,1433,0,0,174,22,353,1358,563,94,366,505,NYC,Queens,1,0.028383381,0.003122172,136,2,512,138
36081055500,2233,37216.66667,487,1746,1067,531,632,676,352,42,208,39,34,674,30685,231,722,0,0,125,3,96,595,95,45,55,396,NYC,Queens,1,0.028213166,0.00169279,63,0,281,63
36081119900,1458,20828.57,279,1179,694,204,327,493,329,105,51,81,43.4,404,30784,373,260,0,0,20,35,53,390,194,111,59,239,NYC,Queens,1,0.028120713,0.00196845,41,0,140,41
