"GEOID","pop_dens","minority_dens","female_dens","genz_dens","millenial_dens","genx_dens","boomer_dens","retiree_dens","divsep_dens","widowed_dens","median_age","foreign_dens","median_earnings","cars_dens","trans_dens","mbike_dens","bike_dens","walk_dens","wfm_dens","lowedu_dens","hsged_dens","bs_dens","grad_dens","unemp_dens","pov_dens","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36085016901",10135.4838709677,2522.58064516129,5277.41935483871,2229.03225806452,2312.90322580645,2819.35483870968,1883.87096774194,890.322580645161,822.58064516129,558.064516129032,39.8,1167.74193548387,41875,2748.38709677419,1670.96774193548,0,19.3548387096774,119.354838709677,80.6451612903226,370.967741935484,2438.70967741935,1416.12903225806,854.838709677419,361.290322580645,922.58064516129,"NYC",1141,251,28,0,250,1
"36005035000",26385.7142857143,25642.8571428571,14342.8571428571,5414.28571428571,5942.85714285714,7842.85714285714,5157.14285714286,2028.57142857143,2614.28571428571,1642.85714285714,40.2,6514.28571428571,29425,6157.14285714286,4785.71428571429,414.285714285714,0,357.142857142857,1185.71428571429,785.714285714286,9628.57142857143,2885.71428571429,942.857142857143,1628.57142857143,3685.71428571429,"NYC",170,36,12,0,36,0
"36047090600",50212.5,48962.5,28412.5,13500,14475,11575,9512.5,1150,4187.5,2062.5,31.1,7925,22683,1362.5,9262.5,0,0,1450,387.5,1912.5,13575,1862.5,662.5,2287.5,24187.5,"NYC",405,138,46,0,138,0
"36081152901",12101.8518518519,7614.81481481481,6722.22222222222,1987.03703703704,2407.40740740741,3518.51851851852,3192.59259259259,996.296296296296,770.37037037037,666.666666666667,44.9,1638.88888888889,55096,4092.59259259259,1337.03703703704,0,0,11.1111111111111,468.518518518518,242.592592592593,3138.88888888889,2285.18518518519,1437.03703703704,500,1233.33333333333,"NYC",593,139,7,1,137,2
"36047051002",121025,107875,58150,25950,35175,31650,22100,6150,13875,4475,34.7,23350,29605,6250,48050,0,1500,2125,1450,4625,36550,16100,5825,7125,20375,"NYC",383,127,44,0,126,1
"36047115000",46600,46000,22400,13850,12900,13150,5833.33333333333,866.666666666667,3966.66666666667,1500,27.5,8133.33333333333,29853,7316.66666666667,11866.6666666667,0,0,333.333333333333,500,2283.33333333333,13133.3333333333,1350,1066.66666666667,1500,13666.6666666667,"NYC",293,127,15,0,127,0
"36005046201",36570,33438.75,20073.75,5395,7178.75,9156.25,10746.25,4093.75,4886.25,3388.75,48.5,2285,37165,5465,9566.25,0,0,835,132.5,1036.25,12513.75,4208.75,2461.25,1576.25,2482.5,"NYC",1902,509,111,1,507,2
"36005027900",70120,58460,32540,12100,18320,17670,16910,5120,7360,3820,38.8,8670,33474,8130,25180,0,220,1980,1480,4500,16870,10130,4980,3760,7870,"NYC",276,74,19,0,74,0
"36047118000",0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"NYC",317,132,11,0,132,0
"36061008601",56560,17240,25780,6400,23320,14840,11060,940,2560,1920,33.9,7880,89655,3980,17380,0,280,16600,1900,200,4220,20040,10000,740,2780,"NYC",952,229,28,0,229,0
"36005038800",42533.3333333333,42466.6666666667,25683.3333333333,10466.6666666667,8700,12800,8450,2116.66666666667,4916.66666666667,2900,37.5,5366.66666666667,33068,7133.33333333333,8583.33333333333,0,0,966.666666666667,516.666666666667,1283.33333333333,15216.6666666667,3550,1900,4433.33333333333,8783.33333333333,"NYC",97,41,8,0,41,0
"36047038700",62100,55242.8571428571,31085.7142857143,15028.5714285714,17842.8571428571,16457.1428571429,10028.5714285714,2742.85714285714,4985.71428571429,3242.85714285714,32.9,5957.14285714286,31396,3228.57142857143,15700,0,800,1271.42857142857,1828.57142857143,1100,14985.7142857143,6871.42857142857,3042.85714285714,3700,20014.2857142857,"NYC",378,111,22,1,110,1
"36047031701",69820,50780,35440,11460,27740,18580,10980,1060,6860,2520,31.1,7760,36647,4800,29800,0,680,4460,1840,1480,16840,16440,6460,4060,13220,"NYC",229,64,16,0,64,0
"36061006600",164942.857142857,75157.1428571429,86785.7142857143,22114.2857142857,56471.4285714286,38871.4285714286,39328.5714285714,8157.14285714286,8457.14285714286,3985.71428571429,36.8,8714.28571428571,70763,2885.71428571429,53914.2857142857,0,2714.28571428571,32600,6357.14285714286,8500,26257.1428571429,46614.2857142857,22357.1428571429,2800,23185.7142857143,"NYC",735,184,68,2,182,2
"36081046700",135300,130680,70840,37700,34920,36320,20540,5820,11020,4260,32.3,49280,21865,12840,39720,0,0,5320,0,10500,33760,11220,1720,3300,45520,"NYC",232,65,23,0,65,0
"36005001900",4257.14285714286,3947.61904761905,2212.69841269841,1014.28571428571,1388.88888888889,1349.20634920635,473.015873015873,31.7460317460317,430.15873015873,66.6666666666667,32.5,538.095238095238,31031,431.746031746032,1161.90476190476,0,25.3968253968254,95.2380952380952,79.3650793650794,169.84126984127,1225.39682539683,392.063492063492,168.253968253968,371.428571428571,1446.03174603175,"NYC",2873,715,46,1,714,1
"36081018300",80937.5,47837.5,40162.5,16675,19775,24950,17037.5,2500,6325,2337.5,37.2,20637.5,43348,5112.5,32712.5,137.5,887.5,2537.5,1375,6462.5,16750,19000,7175,2600,14050,"NYC",524,151,45,1,149,2
"36047020100",54685.7142857143,29357.1428571429,28657.1428571429,8714.28571428571,21185.7142857143,15757.1428571429,8300,728.571428571429,2885.71428571429,1000,32.7,3057.14285714286,52538,3457.14285714286,25542.8571428571,528.571428571429,1842.85714285714,1614.28571428571,3000,1100,7414.28571428571,19000,9114.28571428571,2842.85714285714,3371.42857142857,"NYC",535,143,34,0,143,0
"36005017701",130700,129350,68450,47975,34000,24575,18950,5200,16950,4825,27.8,28225,18571,12900,23075,0,450,4625,0,7300,24900,9025,2450,7375,57350,"NYC",224,81,23,0,81,0
"36081021600",17242.3076923077,12507.6923076923,8938.46153846154,3534.61538461538,3419.23076923077,5284.61538461538,3957.69230769231,1046.15384615385,1130.76923076923,738.461538461538,41.1,2823.07692307692,35766,1934.61538461538,4888.46153846154,0,338.461538461538,280.769230769231,600,988.461538461538,3200,3173.07692307692,1592.30769230769,923.076923076923,1938.46153846154,"NYC",860,184,30,3,180,4
"36081001200",52522.2222222222,41211.1111111111,26722.2222222222,13011.1111111111,12188.8888888889,14344.4444444444,10400,2577.77777777778,2166.66666666667,1877.77777777778,36.4,9166.66666666667,36316,10977.7777777778,12677.7777777778,266.666666666667,0,533.333333333333,0,1644.44444444444,16077.7777777778,4766.66666666667,1911.11111111111,1055.55555555556,5222.22222222222,"NYC",294,73,17,0,72,1
