GEOID,pop,pop_dens,race_white,race_minority,female,age_genz,age_millenial,age_genx,age_boomer,age_retiree,divsep,widowed,median_age,not_us_citizen,median_earnings,trav_cars,trav_trans,trav_motorcycle,trav_bike,trav_walk,trav_home,edu_lowedu,edu_hsged,edu_bs,edu_grad,unemp,below_pov,City,Borough,Type,Collisions,CasualtiesPerPop,CasualtiesCount,PedeCasualtiesCount,PedeCasualtiesPerPop,CyclCasualtiesCount,CyclCasualtiesPerPop,MotrCasualtiesCount,MotrCasualtiesPerPop
11001007703,5521,14156.41,0,1,0.603151603,0.34540844,0.231298678,0.21517841,0.166093099,0.042021373,0.074986416,0.04165912,29.6,0.04002898,22380,0.141097627,0.098170621,0,0.01122985,0.022097446,0.002535773,0.022459699,0.295598623,0.015939141,0.006882811,0.110306104,0.41967035,DC,District of Columbia,Percentage,508,0.028255751,156,14,0.002535773,1,0.000181127,141,0.025538852
11001003800,5038,35985.71,0.570067487,0.429932513,0.467844383,0.090313617,0.412068281,0.313219532,0.175267963,0.009130607,0.097657801,0.016673283,34.9,0.147479158,70402,0.220127035,0.286423184,0,0.029575228,0.098054784,0.051607781,0.030567686,0.081778484,0.270543867,0.257244938,0.043469631,0.093687971,DC,District of Columbia,Percentage,765,0.034537515,174,16,0.003175863,23,0.004565304,135,0.026796348
11001009901,2718,3355.556,0.036055923,0.963944077,0.533848418,0.164091244,0.160779985,0.282560706,0.278145695,0.114422369,0.121780721,0.069168506,46.6,0.005518764,51424,0.303532009,0.143855776,0,0,0.01214128,0.007358352,0.016188374,0.302060338,0.178440029,0.148638705,0.058498896,0.091979397,DC,District of Columbia,Percentage,438,0.059602649,162,3,0.001103753,1,0.000367918,158,0.058130979
11001002400,4298,20466.67,0.229176361,0.770823639,0.501395998,0.133550489,0.333178222,0.288040949,0.191251745,0.053978595,0.089576547,0.043275942,36.8,0.076314565,42333,0.258957655,0.262214984,0,0.040483946,0.003955328,0.018380642,0.021172638,0.243834342,0.19218241,0.124476501,0.048161936,0.087715216,DC,District of Columbia,Percentage,465,0.033736622,145,18,0.004187994,13,0.003024663,114,0.026523965
11001004001,4310,43100,0.751740139,0.248259861,0.422737819,0.084454756,0.414153132,0.305568445,0.147099768,0.048723898,0.062645012,0.014153132,35.1,0.060092807,67362,0.2225058,0.332482599,0,0.017401392,0.103944316,0.079118329,0,0.053596288,0.297679814,0.351276102,0.023897912,0.035730858,DC,District of Columbia,Percentage,251,0.00974478,42,7,0.00162413,3,0.000696056,32,0.007424594
11001010200,2552,5316.667,0.413793103,0.586206897,0.562304075,0.088166144,0.346394984,0.273902821,0.217084639,0.074451411,0.101880878,0.034090909,38.4,0.051332288,66439,0.181034483,0.309169279,0,0.018808777,0.121473354,0.036833856,0.004702194,0.09169279,0.228840125,0.31661442,0.040360502,0.059561129,DC,District of Columbia,Percentage,1603,0.169670846,433,28,0.010971787,13,0.005094044,392,0.153605016
11001000501,3481,9669.444,0.739155415,0.260844585,0.552714737,0.107153117,0.406492387,0.288422867,0.141338696,0.056592933,0.076989371,0.013789141,34.1,0.102556737,66943,0.243320885,0.363401321,0,0.027865556,0.064923872,0.032174662,0.005745475,0.043091066,0.22464809,0.333237575,0.018098248,0.073829359,DC,District of Columbia,Percentage,406,0.026141913,91,9,0.002585464,6,0.001723643,76,0.021832807
11001009201,2844,11376,0.371659634,0.628340366,0.514416315,0.1895218,0.413853727,0.224331927,0.124120956,0.048171589,0.066455696,0.047116737,30.8,0.049929677,38299,0.172644163,0.222925457,0,0.01652602,0.070323488,0.028481013,0.012658228,0.13466948,0.152601969,0.157172996,0.058368495,0.180379747,DC,District of Columbia,Percentage,384,0.050632911,144,14,0.004922644,6,0.002109705,124,0.043600563
11001010300,3265,7773.81,0.180091884,0.819908116,0.512710567,0.160183767,0.247166922,0.29770291,0.228177642,0.06676876,0.110872894,0.067687596,40.7,0.10719755,34784,0.209800919,0.236140888,0,0.001837672,0.010719755,0.017151608,0.038284839,0.256967841,0.140888208,0.179173047,0.071975498,0.191424196,DC,District of Columbia,Percentage,405,0.041041348,134,9,0.002756508,2,0.000612557,123,0.037672282
11001009203,2686,11678.26,0.185033507,0.814966493,0.558823529,0.207371556,0.220029784,0.332092331,0.185778109,0.05472822,0.153015637,0.051749814,37.7,0.046909903,50294,0.172002978,0.215189873,0.002978407,0.032762472,0.027550261,0.033134773,0.029039464,0.171630678,0.170141474,0.134028295,0.049516009,0.120625465,DC,District of Columbia,Percentage,436,0.056962025,153,4,0.001489203,6,0.002233805,143,0.053239017
