GEOID,pop,pop_dens,race_white,race_minority,female,age_genz,age_millenial,age_genx,age_boomer,age_retiree,divsep,widowed,median_age,not_us_citizen,median_earnings,trav_cars,trav_trans,trav_motorcycle,trav_bike,trav_walk,trav_home,edu_lowedu,edu_hsged,edu_bs,edu_grad,unemp,below_pov,City,Borough,Class,CasualtiesPerPop,CasualtiesPerPopDens,TotalInjuries,TotalDeaths,Collisions,CasualtiesCount,PedeCasualtiesCount,road_maxspeed,road_meanspeed,road_maxlength,road_minlength,road_meanlength,road_totlanes,road_maxlanes,road_iri,road_bumps,road_aadt,road_sumlength,road_pci,road_pavewidth,road_vc,road_q
36081047100,4415,73583.33,266,4149,2180,788,1064,1322,1026,215,362,213,38.6,1632,23870,432,1438,49,0,106,12,303,1531,555,224,120,888,NYC,Queens,0,0.010645527,0.000638732,47,0,198,47,15,20,2.01587916,0.31522283,0.00075575,0.1606455,0.68517084,2.00000064,1.36341898,1.95380913,986.543378,1.11479408,42.57012107,1.85195603,0.00352535,25.63639395
36081085900,5118,85300,501,4617,2454,765,1263,1838,919,333,460,221,42,2106,21174,1017,788,0,0,447,0,243,1328,433,374,166,925,NYC,Queens,0,0.010550996,0.00063306,54,0,257,54,27,8,3.52984582,0.2440534,0.00048716,0.18035897,0.92392336,1.9741941,33.70792717,14.02532634,1777.547096,0.65790068,40.42103387,2.30980841,0.00802066,27.24136949
36081011100,3413,56883.33,1776,1637,1800,645,1269,793,576,130,240,24,31.9,325,48438,338,1179,0,29,105,140,84,547,848,314,143,334,NYC,Queens,0,0.010547905,0.000632874,36,0,127,36,7,12,2.96108091,0.16748658,0.01186574,0.16402949,0.6199434,0.98521518,NA,NA,271.5594803,0.67918322,30.99717025,2.49110189,NA,25.35695551
36081074700,3418,31072.73,1105,2313,1799,561,670,1278,746,163,264,198,42.4,646,44516,643,944,0,0,173,14,174,861,721,341,104,372,NYC,Queens,0,0.010532475,0.001158572,36,0,194,36,2,8,0.91848,0.80001904,0.00010116,0.31474994,0.66874928,1.00485851,NA,NA,234.4745128,1.5836776,34.16957317,1.74007508,0.01320071,27.06735477
36081002500,6592,82400,85,6507,3872,1262,1684,1764,1388,494,934,371,43.5,796,17247,232,1445,0,0,168,0,665,2010,133,16,610,3100,NYC,Queens,0,0.010467233,0.000837379,66,3,282,69,25,25,1.74210099,0.30716869,0.00040499,0.19099937,1.16662454,4.00000212,29.28483631,6.78737159,2185.870398,0.75634819,51.2000307,2.023856,0.00238962,25.9309497
36081099802,5573,29331.58,1003,4570,3449,1178,1443,1144,962,846,739,651,39,767,38146,829,1101,0,0,85,156,424,1152,898,454,308,1751,NYC,Queens,0,0.010407321,0.001977391,58,0,191,58,16,11,10.26837321,0.45982317,0.03282788,0.43142306,0.74307826,0.7600383,100.3924099,61.37062512,8599.691874,0.49383573,19.77148152,1.85769565,0.54985242,NA
36081041500,4056,57942.85714,606,3450,1993,1108,1143,1034,598,173,390,121,31.6,1413,21617,435,1031,0,28,162,44,204,1078,211,33,51,897,NYC,Queens,0,0.01035503,0.000724852,42,0,220,42,4,25,2.75241714,0.33990121,0.16301257,0.26148822,1.21743641,1.99941891,7.19560842,3.5028475,172.6946021,1.89892561,63.096266,5.28037636,NA,26.94326245
36081062500,2710,33875,1854,856,1338,446,705,863,545,151,286,122,38.7,358,40510,638,655,7,0,67,66,73,904,273,142,87,128,NYC,Queens,0,0.010332103,0.000826568,28,0,170,28,7,7,2.6339808,0.3135091,0.05233963,0.2403395,0.95654891,1.6500479,0.79883151,3.19541797,1375.045884,0.67889963,41.97337859,4.29819693,0.04195014,25.42403107
36081055600,2345,26055.56,171,2174,1208,335,478,701,681,150,186,113,45.2,408,31931,676,432,0,0,15,14,173,691,266,172,119,121,NYC,Queens,0,0.010234542,0.000921109,24,0,87,24,2,10,2.70945615,0.29827002,0.21647168,0.27941268,0.64490579,0.78492112,NA,NA,197.5712985,1.10284945,32.24528965,2.0186376,NA,27.63245295
36081062900,2932,41885.71,1950,982,1456,746,690,700,664,132,215,95,35.2,303,31924,472,606,0,0,209,23,58,941,340,180,88,243,NYC,Queens,0,0.010231924,0.000716235,30,0,213,30,7,16,4.97169987,0.53803849,0.00076143,0.34927683,0.91365356,2.00000026,40.72901855,7.05126235,2380.13469,1.48877531,38.80848126,2.86340975,0.00086047,25.37180495
36081105900,4029,16116,2344,1685,2154,907,613,1079,1027,403,258,143,42.9,370,52059,1102,501,0,8,1,77,238,968,522,351,107,221,NYC,Queens,0,0.010176222,0.002544056,41,0,134,41,6,25,3.45156335,0.89456187,0.00057981,0.59612941,1.52090585,2.00000101,0.00063342,0.00037158,360.4375752,5.4907682,76.04524024,3.8754301,0.02534537,27.24323248
36081064600,3262,20387.5,23,3239,1710,715,651,1035,687,174,278,195,41.2,322,35655,823,558,0,0,28,29,67,1113,382,230,193,227,NYC,Queens,0,0.010116493,0.001618639,33,0,135,33,3,25,4.46738197,0.2605388,0.0001319,0.23165315,1.11832954,2.00000037,NA,0,424.6576872,2.69122148,55.91647681,3.00823304,0.0180899,23.91721589
36081040900,6046,100766.6667,59,5987,2522,1499,1850,1722,813,162,542,142,32.8,3008,21829,608,1791,0,0,232,18,540,1201,221,64,223,1404,NYC,Queens,0,0.010089315,0.000605359,61,0,224,61,24,4,0.77602441,0.3982959,0.0233159,0.21842535,0.56359554,0.99209321,5.31586318,0.97638303,353.7454424,0.9512059,27.2937999,1.91437178,NA,25.83071176
36081008100,1389,34725,439,950,686,309,462,466,142,10,123,48,32.6,416,36319,196,453,0,9,93,14,27,287,242,170,80,180,NYC,Queens,0,0.010079194,0.000403168,14,0,105,14,5,25,7.6245166,0.18155459,2.54E-05,0.12405187,0.73762862,1.99999931,NA,0,426.068395,0.59387593,36.88143117,1.84407156,0.01710871,23.02055516
36081058500,4685,66928.57,1970,2715,2356,1102,1216,1551,674,142,251,167,35.2,989,31552,463,1382,0,38,205,116,109,1117,470,301,123,619,NYC,Queens,0,0.010032017,0.000702241,47,0,203,47,16,25,14.59202166,0.28987118,0.00410633,0.21906749,1.15983252,1.99911157,8.89927951,1.06010226,800.960897,0.57694031,56.59675479,0.37206848,0.01897025,26.61187388
36081058900,4587,76450,2369,2218,2269,1440,1376,1110,533,128,502,106,31.1,1332,31338,372,1470,0,37,120,51,88,1160,436,245,202,1288,NYC,Queens,0,0.010028341,0.0006017,46,0,188,46,16,9,7.03234706,0.19777306,0.00031688,0.15965608,0.55888174,0.69011858,NA,NA,59.83189366,0.74400649,27.94408681,1.39720434,NA,26.99979598
36081001000,3890,64833.33,510,3380,1836,891,1046,1153,670,130,275,82,35.1,968,25288,572,1224,0,0,113,24,192,1010,351,87,122,542,NYC,Queens,0,0.010025707,0.000601542,39,0,163,39,16,12,2.43258473,0.24236458,0.0005681,0.18692801,0.88420457,1.34906686,NA,NA,252.1096278,1.18644883,49.02699613,4.01858691,0.02793725,27.7189627
36081063500,2701,38585.71,1947,754,1403,637,562,793,491,218,193,149,39.2,148,41738,628,405,0,13,47,37,39,821,317,144,149,382,NYC,Queens,0,0.009996298,0.000699741,27,0,185,27,9,25,6.71553762,0.2504006,0.01999205,0.21635494,1.31315798,1.99920465,0.19794131,0.03580508,2143.413444,1.78949011,86.5405335,5.54122706,0.15250356,24.83249679
36081067700,1739,24842.86,1339,400,893,258,362,444,499,176,72,137,47.5,119,50442,525,316,0,13,27,24,40,512,341,176,48,40,NYC,Queens,0,0.009775733,0.000684301,17,0,88,17,1,12,3.49733951,0.1927941,0.00177838,0.14499463,0.54462218,0.99999986,NA,0,500.6744951,0.76799097,37.6235495,3.38981131,0.0240617,27.40814238
36081066501,3603,27715.38,3132,471,1758,775,601,1048,758,421,187,227,42,172,51705,982,657,0,0,71,1,70,1149,595,294,71,268,NYC,Queens,0,0.009714127,0.001262837,35,0,181,35,8,13,3.71473067,0.218417,0.00120577,0.15882357,1.6799974,2.00000217,35.9442991,3.69797316,1684.352814,0.63396491,76.89976175,3.39609165,NA,25.23382894
36081061900,2590,25900,1811,779,1372,380,712,653,622,223,300,166,42.4,266,46526,525,519,0,0,99,32,90,766,319,143,152,203,NYC,Queens,0,0.00965251,0.000965251,25,0,205,25,8,3,0.57297308,0.42,0.00015764,0.24544416,1.49818361,2.00000001,6.69618264,5.01009349,1367.487462,1.14778826,73.72891817,3.74545928,0.03619668,24.36283497
36081046700,6765,135300,231,6534,3542,1885,1746,1816,1027,291,551,213,32.3,2464,21865,642,1986,0,0,266,0,525,1688,561,86,165,2276,NYC,Queens,0,0.009608278,0.000480414,65,0,232,65,23,25,5.02997569,0.17735459,0.00022501,0.12130881,1.40994156,2.00000006,NA,0,NA,0.86743032,70.49707809,3.8837275,NA,27.24653227
36081116300,9541,95410,747,8794,5227,1056,2202,3046,2263,974,1125,794,48.2,4300,22187,1055,1967,0,0,974,13,929,2772,686,348,267,2982,NYC,Queens,0,0.009537784,0.000953778,90,1,451,91,36,3,1.15464274,0.32950439,0.01669155,0.21044493,0.69105905,2.00000017,7.92698772,13.56239786,1307.682307,1.54255397,27.9588212,3.53159825,0.02508088,26.93842558
36081009500,2520,42000,1779,741,1256,457,808,686,452,117,211,75,34.9,452,49075,325,844,12,0,81,63,53,456,653,356,116,347,NYC,Queens,0,0.00952381,0.000571429,24,0,132,24,6,45,13.93592153,0.3209514,0.00037367,0.19871195,0.82859635,2.0000002,95.72797265,17.56915031,28937.83467,1.98802146,39.93457561,11.12463055,0.11896355,25.75459373
36081070700,2331,25900,1304,1027,1166,435,338,704,702,152,88,140,45.2,170,56500,511,465,0,4,25,58,50,471,380,479,118,227,NYC,Queens,0,0.009438009,0.000849421,22,0,117,22,2,15,9.44797691,0.42604998,0.01011407,0.31749117,1.25851496,1.99782002,2.998798,0.82033988,772.0517367,0.69307038,62.47000381,4.4509373,2.74E-05,30.02859562
36081053800,1696,24228.57,18,1678,1035,420,402,445,355,74,98,44,36.2,317,31523,495,311,0,0,0,0,10,606,142,78,95,110,NYC,Queens,0,0.009433962,0.000660377,16,0,74,16,2,2,0.51185433,0.16210592,0.05087525,0.1336104,0.23312632,0.4625023,NA,0,550.5687273,0.4789053,11.58782318,0.58281581,0.01534238,27.57444666
36081093402,4372,29146.66667,3259,1113,2192,875,679,1232,1107,479,595,351,47.3,321,52500,1280,602,0,36,65,23,205,1137,769,497,182,470,NYC,Queens,0,0.009149131,0.00137237,40,0,226,40,12,6,2.57006943,0.33930253,0.00060385,0.32310257,0.83850359,2.00000007,14.40867101,4.10597611,1250.967247,1.33033953,34.14110739,1.57383911,0.04920694,NA
36081077908,4154,51925,1287,2867,1858,960,1462,1066,578,88,346,97,30.1,720,38049,834,615,0,0,54,53,49,1059,381,259,196,642,NYC,Queens,0,0.009147809,0.000731825,38,0,134,38,7,12,2.69151271,0.29781828,0.04931621,0.2159803,0.97173078,1.99999975,2.60201256,1.58217614,1052.411763,1.12856903,48.11951117,1.53563094,0.02683299,25.51391812
36081093401,3627,17271.43,3199,428,1782,762,623,828,968,446,324,179,45.9,207,42451,997,311,0,76,24,18,65,834,622,506,79,155,NYC,Queens,0,0.009098428,0.00191067,32,1,154,33,4,10,5.30705364,0.37687084,0.33821856,0.34991462,0.50307654,0.90268466,16.79603893,4.80756187,1515.395682,1.39798366,20.07735484,1.24778241,0.05219577,NA
36081006501,3418,85450,2470,948,1887,321,1659,791,506,141,265,112,32.8,651,44440,289,1757,9,35,203,69,187,512,1066,595,44,414,NYC,Queens,0,0.009069631,0.000362785,31,0,145,31,2,5,1.32570794,0.27162093,0.00177576,0.22162627,0.34862279,0.53997659,1.09093957,0.03566644,572.4216632,0.75511435,17.21839051,1.50596718,NA,25.91433767
36081051500,2757,30633.33,1846,911,1403,515,608,760,700,174,182,183,43.8,342,51651,795,562,0,0,46,0,126,765,355,343,32,257,NYC,Queens,0,0.009067827,0.000816105,25,0,120,25,4,18,5.21068414,0.41043227,0.00208988,0.24341438,1.41929623,2.00000093,0.00153174,0.00037372,617.144756,1.84897482,70.96455335,4.58675461,NA,27.25348526
36081092200,1990,7653.846,1858,132,1092,463,228,532,572,195,96,104,50.7,14,69338,703,122,0,12,7,52,7,407,316,390,46,20,NYC,Queens,0,0.009045226,0.002351759,18,0,55,18,0,12,3.86584585,0.45319293,0.02797491,0.33108072,1.078596,2.00000013,12.16556024,3.48217123,1403.717833,2.55532664,50.74186748,3.51060194,0.05060658,NA
36081016900,5779,64211.11111,2451,3328,3077,1020,1288,1993,990,488,420,258,39.6,1345,41918,738,2091,32,44,73,129,234,1010,1517,585,139,392,NYC,Queens,0,0.008998097,0.000809829,52,0,180,52,14,11,4.04138403,0.3204551,0.01006543,0.23394087,0.77698122,0.92683227,NA,NA,1352.979793,1.15183574,38.87269835,3.36904699,0.04844423,29.05340653
36081026902,4363,145433.3,171,4192,2335,752,1524,1165,790,132,305,149,33.5,1793,24922,269,1726,0,0,96,46,310,1175,541,291,124,882,NYC,Queens,0,0.008938804,0.000268164,39,0,173,39,15,16,11.90296301,0.19288538,8.13E-05,0.15827885,0.95028415,1.28590253,6.31278118,9.0463531,333.8666049,0.26778125,46.53104469,2.37575565,0.01632546,25.8884557
36081056200,1695,28250,371,1324,794,316,467,581,273,58,40,81,36.9,153,27423,635,221,0,0,0,40,59,545,92,69,57,198,NYC,Queens,0,0.008849558,0.000530973,15,0,41,15,0,NA,NA,0.14708067,0.14708067,0.14708067,0.40855741,0.40855741,NA,NA,740.5103096,0.1469405,20.42787061,1.02139353,0.04289853,27.25406966
36081092900,6943,19286.11,1260,5683,3475,1671,1936,2000,1092,244,612,199,33.4,2211,31165,1769,896,0,29,340,103,207,2008,753,224,273,693,NYC,Queens,0,0.008785827,0.003162898,61,0,491,61,17,30,13.84847843,0.68,7.68E-05,0.36585607,1.54516506,2.00000004,0.09578753,0.08577246,1089.641397,4.05258519,85.25557467,5.15490194,0.04406205,24.44308876
36081093900,4913,19652,1463,3450,2679,1099,1072,1212,1237,293,388,316,40.9,813,40190,1351,679,0,0,66,119,365,1359,718,233,112,532,NYC,Queens,0,0.00875229,0.002188072,43,0,198,43,9,29,5.86178032,0.33724361,0.00999994,0.19286974,1.43203537,2.00000018,NA,0,398.674808,2.86581197,78.8485467,4.01072786,0.02247127,24.82968968
36081042700,5393,77042.86,222,5171,2380,1509,1358,1652,713,161,333,46,31.5,2280,22297,562,1740,0,0,301,46,349,1549,226,76,36,1145,NYC,Queens,0,0.008715001,0.00061005,47,0,152,47,11,17,3.13931475,0.27984807,0.00037271,0.19223798,1.31958977,1.99999984,4.39671475,2.14033621,133.3011295,1.63840755,65.33733538,5.98540552,NA,25.63325933
36081013400,5616,80228.57,2925,2691,2990,1210,1343,1881,810,372,508,415,37,653,43597,927,1619,12,0,120,103,200,1244,1294,408,231,995,NYC,Queens,0,0.008547009,0.000598291,48,0,333,48,14,14,4.7445308,0.26451815,0.0202945,0.23095516,0.61180526,1.10736502,54.42993558,35.01295726,2614.821198,0.85621707,21.4564103,2.47704436,NA,27.59306613
36081046900,7860,131000,304,7556,4118,1739,1736,2338,1629,418,982,490,38.2,2523,25396,521,2419,0,71,225,0,587,2324,863,185,262,2137,NYC,Queens,0,0.008524173,0.00051145,67,0,308,67,33,20,2.94552154,0.23617252,0.00016479,0.1636288,1.14403938,1.68694659,1.00148369,1.43514797,52.96008005,0.8938332,57.04597471,2.86009883,0.00258951,27.8523688
36081046200,8694,86940,275,8419,4669,2161,2533,2026,1511,463,474,390,31.7,3010,19487,952,2649,0,0,292,61,409,2187,1029,170,382,1184,NYC,Queens,0,0.008511617,0.000851162,74,0,301,74,31,25,7.35711828,0.29780178,0.00083489,0.1455329,1.78220977,2.67463901,26.18368023,4.23202538,2749.544847,2.00025417,77.24142591,9.14596474,0.09626926,26.54085218
36081024500,5770,57700,2088,3682,3055,864,1335,1677,1251,643,329,535,44,1459,36019,704,1909,0,0,42,34,309,1847,895,486,121,301,NYC,Queens,0,0.008492201,0.00084922,49,0,213,49,5,45,11.82271661,0.21000005,0.00158385,0.1218124,1.38408202,9.00000286,40.96580089,2.78639188,19832.23352,2.37079711,69.08275361,10.83867269,0.18982732,24.56672341
36081071305,4951,99020,2587,2364,2534,803,1121,1737,855,435,303,212,40.8,882,55259,508,1845,0,0,79,153,127,1000,1390,915,142,437,NYC,Queens,0,0.008483135,0.000424157,42,0,247,42,13,9,5.19202936,0.37327813,6.77E-06,0.27467634,1.90785392,2.77644893,65.14314399,29.19072528,6688.988652,0.69727777,22.0035843,11.12659145,0.0046762,25.95571181
36081043702,6033,86185.71,213,5820,2971,1382,1412,1633,1182,424,1055,234,37.4,1744,24256,661,1584,0,87,415,87,122,1573,862,233,94,1156,NYC,Queens,0,0.008453506,0.000591745,51,0,251,51,11,27,7.29499257,0.16610715,0.00509061,0.12817669,0.80723393,2.00000087,22.13919654,0.91390849,21915.74374,1.3463176,57.19937367,6.03636868,0.24564082,25.71800612
36081011300,4295,61357.14286,2140,2155,2078,589,1558,1316,638,194,415,150,35,958,46076,488,1642,0,0,253,126,171,991,1159,258,270,434,NYC,Queens,0,0.008381839,0.000586729,36,0,174,36,17,13,4.92433047,0.38438765,0.0019417,0.24758412,0.63640446,1.00312133,38.21992167,19.9408287,1204.100897,1.07406526,26.28110403,2.22958689,0.05206772,25.82482434
36081116100,4775,68214.29,347,4428,2297,509,1065,1282,1321,598,320,549,47.7,2022,26833,874,865,0,16,269,51,316,1677,521,162,185,824,NYC,Queens,0,0.008376963,0.000586387,40,0,180,40,16,2,0.85721519,0.21883343,0.00795913,0.15421702,0.22556705,0.45093777,2.22717698,3.81050929,495.8404189,0.89217899,9.42565661,0.74341557,0.01661766,27.26946299
36081129103,3829,21272.22,2390,1439,1898,729,587,1088,974,451,434,216,47,280,51047,1198,598,23,0,8,55,75,886,850,608,177,423,NYC,Queens,0,0.008357273,0.001504309,32,0,164,32,8,7,2.05543719,0.35528833,0.00049729,0.20907247,0.89088989,2.0000002,1.35578525,0.4025317,552.2224995,1.34676676,43.44980246,1.54199659,0.03146049,26.86459206
36081129104,4193,15529.63,1759,2434,2230,691,735,1137,1381,249,502,218,46.6,430,52689,1569,646,0,0,9,93,187,772,1031,612,94,160,NYC,Queens,0,0.008347245,0.002253756,35,0,174,35,8,18,2.78945069,0.33991928,0.00022876,0.20501996,1.05871723,2.00000035,18.39287222,4.97468612,3001.989791,2.03238459,53.68448492,2.77300198,0.05008034,27.8001891
36081071303,5370,89500,3101,2269,2518,786,1316,1626,1195,447,365,232,40.6,660,58160,1008,2004,0,0,186,110,161,965,1329,1121,85,423,NYC,Queens,0,0.008193669,0.00049162,44,0,194,44,21,5,0.99234476,0.18588838,0.00109041,0.12329514,0.40106096,0.59012184,NA,NA,381.7242524,0.49543811,20.05304784,1.40404337,0.00220152,23.66754427
36081045900,3691,73820,89,3602,1708,669,1050,1129,718,125,165,89,37.3,1528,25250,282,1247,0,11,173,62,341,786,381,149,247,723,NYC,Queens,0,0.008127879,0.000406394,30,0,150,30,4,11,2.24069334,0.48008965,0.04067392,0.27020269,1.04286716,1.47148884,0.43303701,0.21087019,16.40896459,1.19696519,53.90430348,4.97435051,0.00071545,27.47622806
36081100801,2353,9412,1029,1324,1213,768,465,548,406,166,217,100,31.8,71,42455,730,127,0,17,26,5,68,509,305,151,84,285,NYC,Queens,0,0.008074798,0.0020187,19,0,92,19,1,3,0.42072507,0.59999997,0.0978681,0.52958015,1.74811067,1.9999999,NA,NA,144.3289297,0.69839674,87.40553365,4.37027668,0.00943607,25.2173252
36081071306,6005,85785.71,2886,3119,3293,1149,1464,1674,1319,399,542,260,37.7,1268,50119,628,1919,0,50,259,164,317,988,1473,653,236,1120,NYC,Queens,0,0.007993339,0.000559534,48,0,283,48,14,8,2.87881389,0.31685054,0.00842933,0.23355645,1.56161492,2.35673958,37.22114967,16.67884428,3769.136116,0.87928351,36.14805847,6.65279576,NA,25.91855834
36081086300,6598,109966.7,381,6217,3543,868,1823,2186,1309,412,425,421,40.2,2845,25931,836,1801,0,0,749,6,419,2282,782,235,174,1298,NYC,Queens,0,0.007881176,0.00047287,52,0,166,52,14,8,3.61906263,0.28767918,0.19386181,0.21999083,0.49035105,0.62538953,NA,0,1362.101512,1.06582461,24.51755271,2.06961299,0.01008378,27.34503558
36081062700,2992,49866.67,1666,1326,1535,660,644,1057,464,167,223,179,40.4,707,41919,650,495,0,8,61,28,97,1005,282,30,117,271,NYC,Queens,0,0.007687166,0.00046123,23,0,97,23,1,5,1.8644386,0.30867677,0.00545568,0.26092143,1.38271072,1.99146302,0.01161853,0.00210165,671.9689703,0.50716193,69.13359314,0.38815557,NA,28.44827116
36081013500,1447,28940,1139,308,784,250,358,406,248,185,69,100,40.1,140,40125,315,291,20,0,17,35,90,380,218,142,57,50,NYC,Queens,0,0.007601935,0.000380097,11,0,54,11,2,21,6.27247177,0.33121611,0.00053568,0.21144759,1.21743123,2.00000016,5.57029269,2.90623966,148.7833251,1.17642897,60.06427279,3.93820779,0.00758851,24.51183173
