"GEOID","crime_idx","spend_alc","spend_trans","biz_alc","biz_resto","biz_lib","biz_groc","biz_health","biz_hotel","biz_retail","fastfood_6mo","fastfood_freq","road_maxspeed","road_meanspeed","road_maxlength","road_minlength","road_meanlength","road_totlanes","road_maxlanes","road_trucks","road_iri","road_bumps","road_aadt","road_width","road_sumlength","road_pci","road_pavewidth","road_vc","road_q","pop","sqmi","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36047090600",166,388042,453828,0,19,6,16,10,0,72,2386,644,6,4.00765879,0.20173653,0.00337111,0.15423442,0.46333317,1.3672417,NA,4.58448062,3.97853846,1601.467629,NA,0.70806349,22.39556154,1.15833291,0.08920307,24.15057526,4571,0.08,"NYC",405,138,46,0,138,0
"36081152901",14,1996778,562753,1,8,4,4,9,0,23,4866,2060,50,15.66669939,0.47890705,0.00030715,0.21234632,1.14188895,5.00832156,1.04223848,40.92299415,2.93249657,25613.86268,1.11772117,6.79917464,69.08568327,7.44483767,1.47e-05,23.525398,6463,0.54,"NYC",593,139,7,1,137,2
"36047051002",62,650600,559079,1,12,2,5,6,0,50,2965,1134,6,5.49295743,0.19713277,0.002102,0.17602405,0.56278981,0.72442619,0.43308173,56.48160063,48.71160792,4006.226596,NA,0.35558434,10.39390053,3.21354396,0.14766866,28.11412452,4621,0.04,"NYC",383,127,44,0,126,1
"36047115000",120,340030,292662,0,2,5,2,0,1,11,1655,631,3,1.07935022,0.26588498,0.04974507,0.21613797,0.30053739,0.45450424,NA,NA,NA,296.3057959,NA,0.88360142,15.56202664,0.83161703,0.01763089,24.95919875,2840,0.06,"NYC",293,127,15,0,127,0
"36005046201",56,5681699,1279245,2,35,15,12,28,1,157,21429,11054,50,28.41846729,0.79999998,0.00057838,0.30906408,1.41877437,5.45273748,0.24345938,77.18465437,15.71294044,29889.0863,1.14972681,13.07842103,74.80427226,13.30462896,0.07495429,21.5493316,27241,0.79,"NYC",1902,509,111,1,507,2
"36005027900",48,1487039,751258,0,6,3,3,5,1,15,5259,2107,25,9.05841354,0.47222711,0.00080127,0.26653203,0.83321541,2.00000087,NA,NA,0,1522.264633,NA,1.32121823,41.66077064,2.08303853,0.07830379,26.82021931,6907,0.1,"NYC",276,74,19,0,74,0
"36047118000",337,0,0,0,0,7,0,0,0,0,0,0,25,22.05443713,0.7357649,0.00011274,0.54588009,1.74336775,1.99357903,0,263.6144652,80.05695972,11605.63594,2.8e-05,1.50810844,43.94873073,4.35843945,0.6264726,27.11727725,6,0.32,"NYC",317,132,11,0,132,0
"36061008601",67,2745259,1139854,0,2,1,0,17,0,9,2617,1145,40,11.07462672,0.27760124,0.00082576,0.18014747,1.7911342,6.00001053,0.01801548,77.43022771,11.0119701,36492.67093,1.134721,2.02358164,41.72970931,11.36985597,0.01280545,20.09886092,2622,0.04,"NYC",952,229,28,0,229,0
"36005038800",74,460248,338959,0,1,0,0,1,0,4,1847,772,7,7,0.2048881,0.2048881,0.2048881,0.46042269,0.46042269,NA,NA,0,1742.930088,NA,0.20493987,20.02838696,1.15105672,NA,26.89881723,2724,0.06,"NYC",97,41,8,0,41,0
"36047038700",105,725380,534219,1,8,2,3,6,0,20,2836,1186,7,3.2927882,0.32957631,0.09927771,0.27122878,0.3048928,0.44116474,NA,NA,0.07706472,793.5159895,NA,1.22896306,15.20867651,0.99292304,0.01664504,25.39723397,3980,0.07,"NYC",378,111,22,1,110,1
"36047031701",103,629913,463911,1,21,4,7,5,0,44,2470,1033,8,5.73996415,0.18450987,0.0875916,0.15321862,0.43506727,0.61503292,1.35427547,62.67753043,6.66339194,2552.881124,NA,0.2726012,13.00766176,2.12882317,0.12843787,27.66048535,3523,0.05,"NYC",229,64,16,0,64,0
"36061006600",75,6450405,3700203,2,36,7,8,13,1,72,9337,3403,11,5.89922602,0.27880628,0.00352928,0.2128618,0.75404841,1.83972148,NA,31.2214785,5.42660741,4000.584193,NA,1.37283678,27.35944993,6.88119404,NA,26.71540386,11823,0.07,"NYC",735,184,68,2,182,2
"36081046700",23,897370,601707,0,0,1,0,4,0,6,4907,1951,25,5.02997569,0.17735459,0.00022501,0.12130881,1.40994156,2.00000006,NA,NA,0,NA,NA,0.86743032,70.49707809,3.8837275,NA,27.24653227,7392,0.05,"NYC",232,65,23,0,65,0
"36005001900",162,193103,156449,1,17,1,9,7,1,61,1136,377,50,20.42077547,0.53000001,0.00091746,0.2015,1.12866484,2.00000591,1.12606841,130.4251947,11.96732782,28979.61017,1.76067316,13.14755778,69.06406374,14.34013943,0.14410345,19.72295623,1889,0.65,"NYC",2873,715,46,1,714,1
"36081018300",42,1827023,884150,1,31,4,20,12,0,71,4598,1728,5,3.14982481,0.17262691,0.12023508,0.14793174,0.47037057,0.90854661,0.23493529,13.64451796,3.33729857,1555.418396,NA,1.02239607,16.27525029,1.68713439,0.01540852,27.60031393,6311,0.08,"NYC",524,151,45,1,149,2
"36047020100",71,1842646,892112,0,17,1,5,5,0,32,2905,1088,10,2.81179757,0.24358353,0.00320149,0.17264772,0.44427145,1.0004398,NA,0.02493696,3.88136122,972.4525702,NA,0.6909056,22.07962194,1.57007836,0.05436847,28.7925619,3588,0.07,"NYC",535,143,34,0,143,0
