"City","GEOID","Collisions","TotalInjuries","TotalDeaths","TotalCasualties"
"LA",6037104204,51,4,0,4
"LA",6037104310,176,18,2,20
"LA",6037104320,326,65,0,65
"LA",6037104401,118,19,0,19
"LA",6037104403,203,24,1,25
"LA",6037104404,71,12,0,12
"LA",6037104500,71,13,0,13
"LA",6037104610,99,14,1,15
"LA",6037104620,60,8,2,10
"LA",6037104701,125,29,0,29
"LA",6037104703,33,3,1,4
"LA",6037104704,106,12,1,13
"LA",6037104810,133,16,1,17
"LA",6037104821,46,4,0,4
"LA",6037104822,200,27,0,27
"LA",6037106010,47,4,1,5
"LA",6037106020,75,7,0,7
"LA",6037106111,39,7,0,7
"LA",6037106112,138,14,1,15
"LA",6037106113,106,17,0,17
"LA",6037106114,228,36,0,36
"LA",6037106403,177,32,1,33
"LA",6037106405,118,15,1,16
"LA",6037106406,111,13,1,14
"LA",6037106407,48,8,1,9
"LA",6037106408,41,9,0,9
"LA",6037106510,139,12,2,14
"LA",6037106520,112,12,1,13
"LA",6037106603,104,10,0,10
"LA",6037106604,166,8,0,8
"LA",6037106641,44,1,0,1
"LA",6037106642,174,17,0,17
"LA",6037106643,100,14,0,14
"LA",6037106645,24,2,1,3
"LA",6037106646,92,8,0,8
"LA",6037106648,76,13,1,14
"LA",6037106649,110,9,0,9
"LA",6037107010,105,23,1,24
"LA",6037107020,70,12,0,12
"LA",6037108101,78,3,1,4
"LA",6037108102,81,6,0,6
"LA",6037108103,36,2,0,2
"LA",6037108104,17,0,0,0
"LA",6037108201,43,3,0,3
"LA",6037108202,78,7,0,7
"LA",6037109100,250,28,1,29
"LA",6037109200,70,4,0,4
"LA",6037109300,76,10,1,11
"LA",6037109400,57,8,0,8
"LA",6037109500,200,26,1,27
"LA",6037109601,116,9,0,9
"LA",6037109603,107,17,0,17
"LA",6037109604,159,22,0,22
"LA",6037109700,191,25,0,25
"LA",6037109800,110,13,1,14
"LA",6037111100,35,4,0,4
"LA",6037111201,165,21,0,21
"LA",6037111202,190,25,0,25
"LA",6037111204,225,22,0,22
"LA",6037111205,189,19,0,19
"LA",6037111206,168,11,1,12
"LA",6037111301,270,48,0,48
"LA",6037111302,104,17,0,17
"LA",6037111400,134,17,1,18
"LA",6037113101,177,27,0,27
"LA",6037113102,65,4,0,4
"LA",6037113211,121,10,0,10
"LA",6037113212,76,16,0,16
"LA",6037113213,175,18,0,18
"LA",6037113231,61,3,2,5
"LA",6037113232,218,28,1,29
"LA",6037113233,196,29,2,31
"LA",6037113234,100,15,0,15
"LA",6037113237,228,32,4,36
"LA",6037113301,475,51,0,51
"LA",6037113303,395,52,1,53
"LA",6037113321,153,23,0,23
"LA",6037113322,106,14,2,16
"LA",6037113401,441,46,2,48
"LA",6037113421,358,43,0,43
"LA",6037113422,335,46,0,46
"LA",6037115101,350,30,0,30
"LA",6037115103,185,48,0,48
"LA",6037115104,92,8,0,8
"LA",6037115201,190,34,0,34
"LA",6037115202,369,65,0,65
"LA",6037115301,95,14,1,15
"LA",6037115302,82,20,1,21
"LA",6037115401,244,32,1,33
"LA",6037115403,147,16,0,16
"LA",6037115404,193,44,1,45
"LA",6037117101,51,5,0,5
"LA",6037117102,55,5,0,5
"LA",6037117201,238,38,0,38
"LA",6037117202,71,11,0,11
"LA",6037117301,84,11,0,11
"LA",6037117302,138,14,1,15
"LA",6037117303,329,36,0,36
"LA",6037117404,250,28,2,30
"LA",6037117405,189,44,1,45
"LA",6037117407,66,15,3,18
"LA",6037117408,175,32,2,34
"LA",6037117510,100,19,1,20
"LA",6037117520,122,27,0,27
"LA",6037117530,67,12,0,12
"LA",6037119001,42,4,0,4
"LA",6037119002,243,23,1,24
"LA",6037119201,91,12,0,12
"LA",6037119202,176,27,5,32
"LA",6037119310,198,32,0,32
"LA",6037119320,65,15,0,15
"LA",6037119340,116,22,0,22
"LA",6037119341,92,13,0,13
"LA",6037119342,25,3,0,3
"LA",6037119400,93,6,0,6
"LA",6037119700,68,11,0,11
"LA",6037119800,112,15,0,15
"LA",6037119900,148,19,1,20
"LA",6037120010,162,27,1,28
"LA",6037120020,298,46,1,47
"LA",6037120030,150,27,0,27
"LA",6037120103,72,16,0,16
"LA",6037120104,136,37,0,37
"LA",6037120105,102,19,2,21
"LA",6037120106,37,5,0,5
"LA",6037120107,13,4,0,4
"LA",6037120108,138,31,0,31
"LA",6037120300,275,39,1,40
"LA",6037120400,412,52,2,54
"LA",6037121010,304,49,1,50
"LA",6037121020,168,19,0,19
"LA",6037121101,96,16,2,18
"LA",6037121102,377,43,4,47
"LA",6037121210,154,16,0,16
"LA",6037121221,28,4,0,4
"LA",6037121222,139,17,1,18
"LA",6037121600,61,6,0,6
"LA",6037121801,82,13,1,14
"LA",6037121802,189,36,3,39
"LA",6037121900,113,7,1,8
"LA",6037122000,502,52,2,54
"LA",6037122120,56,8,0,8
"LA",6037122121,42,8,0,8
"LA",6037122122,163,31,0,31
"LA",6037122200,74,7,0,7
"LA",6037122410,134,18,1,19
"LA",6037122420,135,21,3,24
"LA",6037123010,121,24,0,24
"LA",6037123020,37,7,1,8
"LA",6037123103,92,15,0,15
"LA",6037123104,115,16,2,18
"LA",6037123203,155,29,3,32
"LA",6037123204,76,12,0,12
"LA",6037123205,94,12,1,13
"LA",6037123206,105,14,0,14
"LA",6037123301,291,37,0,37
"LA",6037123303,180,32,1,33
"LA",6037123304,292,33,1,34
"LA",6037123410,130,26,0,26
"LA",6037123420,310,39,3,42
"LA",6037123510,224,21,0,21
"LA",6037123520,136,19,0,19
"LA",6037123601,269,23,1,24
"LA",6037123602,207,20,1,21
"LA",6037123700,256,21,1,22
"LA",6037123800,211,24,0,24
"LA",6037123901,421,64,1,65
"LA",6037123902,95,4,0,4
"LA",6037124000,264,44,0,44
"LA",6037124102,189,43,1,44
"LA",6037124103,44,5,0,5
"LA",6037124104,106,19,1,20
"LA",6037124105,122,24,0,24
"LA",6037124201,170,43,0,43
"LA",6037124203,47,4,0,4
"LA",6037124204,142,32,0,32
"LA",6037124300,120,14,0,14
"LA",6037124400,161,17,1,18
"LA",6037124500,98,16,0,16
"LA",6037124600,104,10,0,10
"LA",6037124700,219,32,0,32
"LA",6037124902,92,24,0,24
"LA",6037124903,32,9,0,9
"LA",6037125100,195,29,0,29
"LA",6037125200,202,30,0,30
"LA",6037125310,138,31,1,32
"LA",6037125320,283,74,1,75
"LA",6037125401,86,25,1,26
"LA",6037125402,201,33,0,33
"LA",6037125501,84,15,0,15
"LA",6037125502,83,13,0,13
"LA",6037125600,44,7,0,7
"LA",6037127102,95,6,0,6
"LA",6037127103,18,1,0,1
"LA",6037127104,150,19,2,21
"LA",6037127210,393,53,0,53
"LA",6037127220,229,42,2,44
"LA",6037127300,328,46,0,46
"LA",6037127400,476,65,1,66
"LA",6037127520,282,34,1,35
"LA",6037127603,78,14,0,14
"LA",6037127604,26,5,0,5
"LA",6037127605,121,18,0,18
"LA",6037127606,96,10,0,10
"LA",6037127711,182,22,2,24
"LA",6037127712,95,10,1,11
"LA",6037127803,140,31,1,32
"LA",6037127804,90,12,1,13
"LA",6037127805,355,45,1,46
"LA",6037127806,187,39,0,39
"LA",6037127910,217,25,0,25
"LA",6037127920,242,41,1,42
"LA",6037128101,161,13,0,13
"LA",6037128102,187,27,1,28
"LA",6037128210,163,30,0,30
"LA",6037128220,127,19,0,19
"LA",6037128302,365,37,1,38
"LA",6037128303,249,61,0,61
"LA",6037128400,346,52,1,53
"LA",6037128500,172,21,1,22
"LA",6037128601,173,24,0,24
"LA",6037128602,165,12,1,13
"LA",6037128702,225,25,1,26
"LA",6037128801,189,15,0,15
"LA",6037128802,250,37,1,38
"LA",6037128910,235,25,1,26
"LA",6037131010,239,44,2,46
"LA",6037131020,458,75,1,76
"LA",6037131100,142,12,0,12
"LA",6037131200,60,5,0,5
"LA",6037131300,122,17,3,20
"LA",6037131400,177,16,2,18
"LA",6037131600,188,15,0,15
"LA",6037131701,191,17,0,17
"LA",6037131702,164,14,0,14
"LA",6037131800,516,76,5,81
"LA",6037131900,296,29,1,30
"LA",6037132001,64,9,0,9
"LA",6037132002,116,15,0,15
"LA",6037132101,162,25,1,26
"LA",6037132102,179,22,1,23
"LA",6037132300,126,19,0,19
"LA",6037132501,40,3,0,3
"LA",6037132502,60,3,0,3
"LA",6037132700,315,35,0,35
"LA",6037132900,69,11,0,11
"LA",6037133000,172,21,3,24
"LA",6037133100,271,38,1,39
"LA",6037134001,223,37,2,39
"LA",6037134002,85,16,1,17
"LA",6037134101,112,16,1,17
"LA",6037134103,147,20,1,21
"LA",6037134104,68,14,0,14
"LA",6037134201,177,20,2,22
"LA",6037134302,90,7,1,8
"LA",6037134303,288,43,1,44
"LA",6037134304,145,36,0,36
"LA",6037134305,44,10,1,11
"LA",6037134306,44,8,0,8
"LA",6037134421,26,3,1,4
"LA",6037134422,150,13,0,13
"LA",6037134423,29,4,0,4
"LA",6037134424,38,5,1,6
"LA",6037134520,258,43,0,43
"LA",6037134521,110,19,0,19
"LA",6037134522,203,37,0,37
"LA",6037134710,206,34,1,35
"LA",6037134720,323,49,2,51
"LA",6037134800,229,29,4,33
"LA",6037134901,196,23,0,23
"LA",6037134903,203,25,1,26
"LA",6037134904,162,21,2,23
"LA",6037134905,204,21,2,23
"LA",6037135102,184,22,0,22
"LA",6037135111,169,28,1,29
"LA",6037135113,128,24,0,24
"LA",6037135114,256,36,1,37
"LA",6037135201,197,38,0,38
"LA",6037135202,64,7,0,7
"LA",6037135203,195,25,0,25
"LA",6037137000,219,20,0,20
"LA",6037137103,123,12,0,12
"LA",6037137104,170,21,2,23
"LA",6037137201,253,37,2,39
"LA",6037137301,23,3,0,3
"LA",6037137302,81,7,1,8
"LA",6037137401,289,33,1,34
"LA",6037137402,108,12,0,12
"LA",6037137501,264,29,2,31
"LA",6037137502,226,44,1,45
"LA",6037137504,15,1,0,1
"LA",6037138000,43,13,0,13
"LA",6037139001,153,15,0,15
"LA",6037139200,182,26,0,26
"LA",6037139301,204,24,0,24
"LA",6037139302,144,27,3,30
"LA",6037139303,64,11,0,11
"LA",6037139401,323,59,0,59
"LA",6037139402,238,29,0,29
"LA",6037139502,221,36,0,36
"LA",6037139503,40,11,0,11
"LA",6037139504,85,13,1,14
"LA",6037139600,303,52,1,53
"LA",6037139701,289,42,0,42
"LA",6037139702,71,7,0,7
"LA",6037139703,26,6,0,6
"LA",6037139801,27,4,0,4
"LA",6037139802,43,2,0,2
"LA",6037141101,75,15,0,15
"LA",6037141102,171,35,1,36
"LA",6037141201,99,17,0,17
"LA",6037141202,146,25,1,26
"LA",6037141302,414,44,1,45
"LA",6037141303,22,6,0,6
"LA",6037141304,271,31,0,31
"LA",6037141400,208,29,1,30
"LA",6037141500,93,19,0,19
"LA",6037141600,99,8,0,8
"LA",6037141700,61,6,0,6
"LA",6037143100,162,33,0,33
"LA",6037143200,267,46,0,46
"LA",6037143300,168,21,0,21
"LA",6037143400,170,18,1,19
"LA",6037143500,202,29,0,29
"LA",6037143602,142,27,0,27
"LA",6037143603,31,8,0,8
"LA",6037143604,144,31,0,31
"LA",6037143700,211,23,0,23
"LA",6037143800,272,38,2,40
"LA",6037143901,398,54,1,55
"LA",6037143902,155,25,1,26
"LA",6037181000,144,12,0,12
"LA",6037181300,140,24,0,24
"LA",6037181400,152,41,1,42
"LA",6037181500,108,24,0,24
"LA",6037181600,80,15,0,15
"LA",6037183101,117,16,2,18
"LA",6037183103,59,15,0,15
"LA",6037183104,34,10,0,10
"LA",6037183220,110,31,2,33
"LA",6037183221,57,6,1,7
"LA",6037183222,50,9,0,9
"LA",6037183300,83,19,0,19
"LA",6037183401,100,17,0,17
"LA",6037183402,73,20,0,20
"LA",6037183510,38,9,0,9
"LA",6037183520,54,9,0,9
"LA",6037183610,78,20,0,20
"LA",6037183620,138,26,1,27
"LA",6037183701,77,12,0,12
"LA",6037183702,71,6,0,6
"LA",6037183810,156,44,1,45
"LA",6037183820,71,8,0,8
"LA",6037185100,180,26,1,27
"LA",6037185202,52,5,0,5
"LA",6037185203,72,11,1,12
"LA",6037185204,17,2,0,2
"LA",6037185310,48,6,0,6
"LA",6037185320,214,42,1,43
"LA",6037186100,80,10,0,10
"LA",6037186201,79,18,0,18
"LA",6037186202,91,18,2,20
"LA",6037186203,43,1,0,1
"LA",6037186301,49,6,0,6
"LA",6037186302,76,9,0,9
"LA",6037186401,194,38,2,40
"LA",6037186403,99,17,0,17
"LA",6037186404,97,23,0,23
"LA",6037187101,111,28,1,29
"LA",6037187102,240,46,4,50
"LA",6037187200,71,8,0,8
"LA",6037187300,150,15,1,16
"LA",6037188100,200,24,2,26
"LA",6037188201,152,23,0,23
"LA",6037188202,114,14,0,14
"LA",6037188300,97,13,0,13
"LA",6037189101,102,19,0,19
"LA",6037189102,190,32,1,33
"LA",6037189201,176,49,0,49
"LA",6037189202,158,25,1,26
"LA",6037189300,128,14,0,14
"LA",6037189400,54,2,0,2
"LA",6037189500,49,6,0,6
"LA",6037189600,162,17,0,17
"LA",6037189701,292,42,0,42
"LA",6037189702,326,49,1,50
"LA",6037189800,289,54,1,55
"LA",6037189902,182,39,0,39
"LA",6037189903,30,6,0,6
"LA",6037189904,195,52,1,53
"LA",6037189905,143,28,0,28
"LA",6037190100,664,165,0,165
"LA",6037190201,184,50,0,50
"LA",6037190202,162,34,0,34
"LA",6037190301,301,81,2,83
"LA",6037190401,52,11,1,12
"LA",6037190402,51,12,1,13
"LA",6037190510,130,34,0,34
"LA",6037190520,73,17,0,17
"LA",6037190700,650,192,2,194
"LA",6037190801,201,37,0,37
"LA",6037190802,407,78,1,79
"LA",6037190901,388,116,0,116
"LA",6037190902,172,48,1,49
"LA",6037191000,348,88,0,88
"LA",6037191110,188,52,1,53
"LA",6037191120,112,36,1,37
"LA",6037191201,311,90,1,91
"LA",6037191203,75,14,1,15
"LA",6037191204,87,24,0,24
"LA",6037191301,70,22,0,22
"LA",6037191302,261,74,0,74
"LA",6037191410,142,31,0,31
"LA",6037191420,107,21,0,21
"LA",6037191500,280,79,0,79
"LA",6037191610,213,49,0,49
"LA",6037191620,133,25,1,26
"LA",6037191710,183,38,0,38
"LA",6037191720,210,46,0,46
"LA",6037191810,101,24,1,25
"LA",6037191820,106,25,1,26
"LA",6037191901,367,81,2,83
"LA",6037191902,232,35,0,35
"LA",6037192001,274,61,0,61
"LA",6037192002,294,66,0,66
"LA",6037192300,267,47,2,49
"LA",6037192410,183,20,1,21
"LA",6037192420,187,33,2,35
"LA",6037192510,179,31,0,31
"LA",6037192520,223,29,2,31
"LA",6037192610,195,45,0,45
"LA",6037192620,187,51,0,51
"LA",6037192700,199,33,0,33
"LA",6037194101,114,11,0,11
"LA",6037194102,133,18,0,18
"LA",6037194200,234,22,1,23
"LA",6037194300,53,5,0,5
"LA",6037194401,245,52,1,53
"LA",6037194402,167,42,1,43
"LA",6037194500,231,53,1,54
"LA",6037195100,168,35,1,36
"LA",6037195201,109,22,0,22
"LA",6037195202,112,16,0,16
"LA",6037195300,98,22,0,22
"LA",6037195400,104,13,0,13
"LA",6037195500,263,40,2,42
"LA",6037195600,210,45,0,45
"LA",6037195710,269,40,4,44
"LA",6037195720,104,23,0,23
"LA",6037195802,106,21,0,21
"LA",6037195803,116,32,0,32
"LA",6037195804,125,32,0,32
"LA",6037195901,78,18,0,18
"LA",6037195902,74,20,4,24
"LA",6037195903,30,2,0,2
"LA",6037197200,102,13,0,13
"LA",6037197300,56,10,0,10
"LA",6037197410,134,9,1,10
"LA",6037197420,95,12,0,12
"LA",6037197500,232,57,1,58
"LA",6037197600,204,49,0,49
"LA",6037197700,85,10,0,10
"LA",6037199000,472,77,4,81
"LA",6037199110,79,5,0,5
"LA",6037199120,146,24,0,24
"LA",6037199201,103,30,0,30
"LA",6037199202,39,4,0,4
"LA",6037199300,79,9,0,9
"LA",6037199400,147,26,1,27
"LA",6037199700,320,51,0,51
"LA",6037199800,148,40,0,40
"LA",6037199900,256,61,0,61
"LA",6037201110,25,2,0,2
"LA",6037201120,42,5,0,5
"LA",6037201200,65,7,1,8
"LA",6037201301,154,13,0,13
"LA",6037201302,29,3,0,3
"LA",6037201401,169,31,0,31
"LA",6037201402,196,24,0,24
"LA",6037201501,109,23,0,23
"LA",6037201503,66,16,0,16
"LA",6037201504,37,2,0,2
"LA",6037201601,83,10,0,10
"LA",6037201602,157,12,2,14
"LA",6037201700,131,12,0,12
"LA",6037203100,91,12,0,12
"LA",6037203200,67,5,0,5
"LA",6037203300,324,61,2,63
"LA",6037203500,216,22,0,22
"LA",6037203600,179,36,1,37
"LA",6037203710,59,12,1,13
"LA",6037203720,66,9,0,9
"LA",6037203800,67,12,0,12
"LA",6037203900,88,12,0,12
"LA",6037204110,107,19,0,19
"LA",6037204120,81,12,0,12
"LA",6037204200,128,29,0,29
"LA",6037204300,166,33,1,34
"LA",6037204410,91,25,0,25
"LA",6037204420,165,31,1,32
"LA",6037204600,280,49,1,50
"LA",6037204700,171,34,1,35
"LA",6037204810,239,41,0,41
"LA",6037204820,50,5,1,6
"LA",6037204910,95,13,0,13
"LA",6037204920,158,21,2,23
"LA",6037205110,95,12,1,13
"LA",6037205120,319,48,3,51
"LA",6037206010,179,35,0,35
"LA",6037206020,131,29,3,32
"LA",6037206031,941,119,2,121
"LA",6037206032,265,56,2,58
"LA",6037206050,529,64,3,67
"LA",6037206200,495,130,2,132
"LA",6037206300,485,167,1,168
"LA",6037207101,189,42,0,42
"LA",6037207102,508,84,2,86
"LA",6037207103,192,50,0,50
"LA",6037207301,506,178,2,180
"LA",6037207302,275,71,0,71
"LA",6037207400,713,128,0,128
"LA",6037207501,75,22,0,22
"LA",6037207502,329,73,0,73
"LA",6037207710,1047,287,1,288
"LA",6037207900,691,178,0,178
"LA",6037208000,237,37,1,38
"LA",6037208301,17,5,0,5
"LA",6037208302,164,30,0,30
"LA",6037208401,104,20,0,20
"LA",6037208402,117,19,1,20
"LA",6037208501,120,18,0,18
"LA",6037208502,167,44,1,45
"LA",6037208610,143,33,1,34
"LA",6037208620,221,52,0,52
"LA",6037208710,73,22,0,22
"LA",6037208720,173,42,0,42
"LA",6037208801,351,92,2,94
"LA",6037208802,96,30,0,30
"LA",6037208902,171,60,0,60
"LA",6037208903,96,19,1,20
"LA",6037208904,64,12,0,12
"LA",6037209102,147,43,2,45
"LA",6037209103,96,25,0,25
"LA",6037209104,47,12,0,12
"LA",6037209200,241,33,0,33
"LA",6037209300,168,50,0,50
"LA",6037209401,116,36,0,36
"LA",6037209402,141,45,0,45
"LA",6037209403,107,23,0,23
"LA",6037209510,167,45,1,46
"LA",6037209520,206,46,0,46
"LA",6037209810,66,13,0,13
"LA",6037209820,59,15,0,15
"LA",6037210010,184,48,0,48
"LA",6037211000,801,153,1,154
"LA",6037211120,351,82,2,84
"LA",6037211121,66,12,0,12
"LA",6037211122,251,46,1,47
"LA",6037211201,47,10,1,11
"LA",6037211202,185,48,1,49
"LA",6037211310,59,18,0,18
"LA",6037211320,124,21,0,21
"LA",6037211410,54,16,1,17
"LA",6037211420,136,32,1,33
"LA",6037211500,266,66,0,66
"LA",6037211701,287,51,1,52
"LA",6037211703,86,14,0,14
"LA",6037211704,201,43,1,44
"LA",6037211802,268,69,2,71
"LA",6037211803,112,27,0,27
"LA",6037211804,88,23,1,24
"LA",6037211910,85,17,0,17
"LA",6037211921,201,61,0,61
"LA",6037211922,63,21,0,21
"LA",6037212101,278,72,0,72
"LA",6037212102,165,51,0,51
"LA",6037212202,173,43,0,43
"LA",6037212203,55,17,0,17
"LA",6037212204,127,43,2,45
"LA",6037212303,151,42,0,42
"LA",6037212304,80,26,1,27
"LA",6037212305,80,19,0,19
"LA",6037212306,210,61,0,61
"LA",6037212410,95,32,0,32
"LA",6037212420,184,51,1,52
"LA",6037212501,60,22,0,22
"LA",6037212502,165,43,2,45
"LA",6037212610,237,51,0,51
"LA",6037212620,158,25,0,25
"LA",6037212701,169,27,0,27
"LA",6037212702,193,27,2,29
"LA",6037212800,114,19,1,20
"LA",6037212900,73,13,0,13
"LA",6037213100,267,52,1,53
"LA",6037213201,251,44,2,46
"LA",6037213202,132,29,1,30
"LA",6037213310,109,29,0,29
"LA",6037213320,247,69,0,69
"LA",6037213401,60,20,0,20
"LA",6037213402,173,48,1,49
"LA",6037214000,301,64,3,67
"LA",6037214100,236,33,0,33
"LA",6037214400,47,9,0,9
"LA",6037214501,148,44,0,44
"LA",6037214502,105,28,0,28
"LA",6037214503,49,8,0,8
"LA",6037214600,316,47,3,50
"LA",6037214700,169,29,0,29
"LA",6037214800,176,28,0,28
"LA",6037214901,115,20,3,23
"LA",6037214902,273,60,0,60
"LA",6037215101,149,41,2,43
"LA",6037215102,260,48,2,50
"LA",6037216100,159,19,1,20
"LA",6037216200,298,53,2,55
