,GEOID,City,STATE_x,2018 Total Crime Index,Alcoholic Beverages,AnalysisArea_x,AnalysisArea_y,Beer/Wine/Liquor Stores:Bus,COUNTY_x,Eating & Drinking Businesses (SIC),Education/Library Businesses (SIC),Food Stores - Businesses (SIC),Health Services - Businesses (SIC),Hotel/Lodging Businesses (SIC),MAX_POSTED_SPEED_LIMIT,MAX_SECTION_LENGTH,MAX_TOTAL_LANES,MEAN_ACTUAL_PCT_TRUCKS,MEAN_IRI,MEAN_I_NO_OF_BUMPS,MEAN_LAST_ACTUAL_AADT,MEAN_LAST_ACTUAL_CNTYR,MEAN_MEDIAN_WIDTH,MEAN_PCI,MEAN_POSTED_SPEED_LIMIT,MEAN_SECTION_LENGTH,MEAN_TOTAL_LANES,MEAN_TOTAL_PAVEMENT_WIDTH,MEAN_VC,MEAN_q_score,MIN_SECTION_LENGTH,POPULATION_x,Point_Count,Public/Other Transportation,SQMI_x,SUM_Length_Miles,Total Retail:Bus,POPULATION_x,Went to fast food/drive-in restaurant 9+ times/mo,Went to fast food/drive-in restaurant in last 6 mo
12,36061003700.0,NYC,NY,222.0,2087002.0,0.37696766,0.14554803,2.0,New York,58.0,25.0,10.0,14.0,6.0,40.0,0.36153637,3.99217854,0.56919496,63.12650226,9.14132851,13247.07184,861.3372717,0.43219355,52.33014117,12.90893186,0.22842489,1.25234557,7.27421852,0.09550054,22.68137316,0.00014815,2504.0,211.0,1012591.0,0.15,4.99369723,145.0,2504.0,763.0,2066.0
13,36061011700.0,NYC,NY,208.0,3803220.0,0.20121482,0.07768948,0.0,New York,7.0,1.0,2.0,3.0,1.0,35.0,0.39336331,3.99999945,0.42586565,171.5196238,16.22218654,20258.628780000003,1383.672305,0.71499766,39.60552623,17.72452513,0.18752933,1.884627,9.57446233,0.1985823,18.34904359,0.00170429,3859.0,112.0,1388034.0,0.08,1.91937999,21.0,3859.0,1848.0,3857.0
14,36085016901.0,NYC,NY,33.0,761752.0,0.80594831,0.31117838,1.0,Richmond,14.0,4.0,4.0,41.0,0.0,50.0,0.77988319,2.00000043,2.13553187,68.34699300000001,2.58962583,47420.237069999996,1471.920179,9.6281186,71.75101062,23.75082854,0.27500079,0.91479814,13.30231402,0.17393191,22.81446226,0.001667,2990.0,448.0,379298.0,0.31,5.77952118,25.0,2990.0,839.0,1986.0
15,36005035000.0,NYC,NY,73.0,417166.0,0.18954178,0.07318249,0.0,Bronx,6.0,1.0,1.0,1.0,0.0,1.0,0.13309686,0.50225232,0.0,0.18013010000000002,0.01595248,176.7203161,40.48971994,,14.88544418,0.37644179,0.10406217,0.29836028,0.74590069,0.0085667,25.15553936,0.00950148,1976.0,109.0,307230.0,0.07,0.29536512,15.0,1976.0,548.0,1312.0
16,36047090600.0,NYC,NY,166.0,388042.0,0.19781379999999998,0.07637633,0.0,Kings,19.0,6.0,16.0,10.0,0.0,6.0,0.20173653,1.3672417,,4.58448062,3.97853846,1601.467629,320.4505822,,22.39556154,4.00765879,0.15423442,0.46333317,1.15833291,0.08920307,24.15057526,0.00337111,4571.0,90.0,453828.0,0.08,0.70806349,72.0,4571.0,644.0,2386.0
17,36081152901.0,NYC,NY,14.0,1996778.0,1.40318803,0.54177393,1.0,Queens,8.0,4.0,4.0,9.0,0.0,50.0,0.47890705,5.00832156,1.04223848,40.92299415,2.93249657,25613.862680000002,948.5268633,1.11772117,69.08568327,15.66669939,0.21234632,1.14188895,7.44483767,1.47e-05,23.525398000000003,0.00030715,6463.0,1.0,562753.0,0.54,6.79917464,23.0,6463.0,2060.0,4866.0
18,36047051002.0,NYC,NY,62.0,650600.0,0.10711753,0.04135831,1.0,Kings,12.0,2.0,5.0,6.0,0.0,6.0,0.19713277,0.72442619,0.43308173,56.48160063,48.71160792,4006.226596,408.4123879,,10.39390053,5.49295743,0.17602405,0.56278981,3.21354396,0.14766866,28.11412452,0.002102,4621.0,60.0,559079.0,0.04,0.35558434,50.0,4621.0,1134.0,2965.0
19,36047115000.0,NYC,NY,120.0,340030.0,0.15871726,0.06128108,0.0,Kings,2.0,5.0,2.0,0.0,1.0,3.0,0.26588498,0.45450424,,,,296.30579589999996,97.64867866,,15.56202664,1.07935022,0.21613797,0.30053739,0.83161703,0.01763089,24.95919875,0.04974507,2840.0,91.0,292662.0,0.06,0.88360142,11.0,2840.0,631.0,1655.0
20,36005046201.0,NYC,NY,56.0,5681699.0,2.04431848,0.78931578,2.0,Bronx,35.0,15.0,12.0,28.0,1.0,50.0,0.79999998,5.45273748,0.24345938,77.18465437,15.71294044,29889.0863,1259.298627,1.14972681,74.80427226,28.41846729,0.30906408,1.41877437,13.30462896,0.07495429,21.549331600000002,0.00057838,27241.0,767.0,1279245.0,0.79,13.07842103,157.0,27241.0,11054.0,21429.0
21,36005027900.0,NYC,NY,48.0,1487039.0,0.26576465,0.1026123,0.0,Bronx,6.0,3.0,3.0,5.0,1.0,25.0,0.47222711,2.00000087,,,0.0,1522.264633,377.7709546,,41.66077064,9.05841354,0.26653203,0.83321541,2.08303853,0.07830379,26.82021931,0.00080127,6907.0,154.0,751258.0,0.1,1.32121823,15.0,6907.0,2107.0,5259.0
