"City","GEOID","Collisions","CasualtiesCount","TotalInjuries","TotalDeaths","PedeCasualtiesCount","PedeInjuries","PedeDeaths","CyclCasualtiesCount","CyclInjuries","CyclDeaths","MotrCasualtiesCount","MotrInjuries","MotrDeaths"
"DC","11001002701",313,84,84,0,7,7,0,6,6,0,71,71,0
"DC","11001002702",340,68,68,0,16,16,0,8,8,0,44,44,0
"DC","11001002801",326,87,86,1,14,13,1,8,8,0,65,65,0
"DC","11001002802",716,153,153,0,22,22,0,23,23,0,108,108,0
"DC","11001002900",420,98,97,1,10,10,0,19,19,0,69,68,1
"DC","11001003000",352,81,81,0,13,13,0,10,10,0,58,58,0
"DC","11001003100",700,211,210,1,17,17,0,22,21,1,172,172,0
"DC","11001003200",535,159,159,0,16,16,0,13,13,0,130,130,0
"DC","11001003301",340,88,88,0,5,5,0,5,5,0,78,78,0
"DC","11001003302",564,191,191,0,13,13,0,14,14,0,164,164,0
"DC","11001003400",994,296,294,2,21,21,0,17,17,0,258,256,2
"DC","11001003500",838,193,191,2,14,13,1,14,14,0,165,164,1
"DC","11001003600",401,99,99,0,6,6,0,16,16,0,77,77,0
"DC","11001003700",425,109,109,0,14,14,0,13,13,0,82,82,0
"DC","11001003800",765,174,173,1,16,16,0,23,23,0,135,134,1
"DC","11001003900",262,50,50,0,9,9,0,9,9,0,32,32,0
"DC","11001004001",251,42,42,0,7,7,0,3,3,0,32,32,0
"DC","11001004002",367,62,62,0,4,4,0,10,10,0,48,48,0
"DC","11001004100",636,156,156,0,11,11,0,16,16,0,129,129,0
"DC","11001004201",494,121,121,0,12,12,0,14,14,0,95,95,0
"DC","11001004202",398,84,84,0,8,8,0,8,8,0,68,68,0
"DC","11001004300",818,176,175,1,13,13,0,18,18,0,145,144,1
"DC","11001004400",1586,408,406,2,60,60,0,46,44,2,302,302,0
"DC","11001004600",1085,262,262,0,24,24,0,21,21,0,217,217,0
"DC","11001004701",1481,408,407,1,33,33,0,21,21,0,354,353,1
"DC","11001004702",1055,264,264,0,14,14,0,12,12,0,238,238,0
"DC","11001004801",676,194,193,1,15,15,0,27,27,0,152,151,1
"DC","11001004802",536,129,129,0,10,10,0,9,9,0,110,110,0
"DC","11001004901",450,136,135,1,4,3,1,16,16,0,116,116,0
"DC","11001004902",445,101,101,0,13,13,0,6,6,0,82,82,0
"DC","11001005001",312,87,87,0,3,3,0,8,8,0,76,76,0
"DC","11001005002",633,188,188,0,11,11,0,19,19,0,158,158,0
"DC","11001005201",935,226,226,0,11,11,0,28,28,0,187,187,0
"DC","11001005301",595,131,131,0,9,9,0,14,14,0,108,108,0
"DC","11001005500",1802,268,268,0,35,35,0,27,27,0,206,206,0
"DC","11001005600",778,116,116,0,20,20,0,12,12,0,84,84,0
"DC","11001005800",3305,654,652,2,107,107,0,52,52,0,495,493,2
"DC","11001005900",1303,327,325,2,26,26,0,27,27,0,274,272,2
"DC","11001006202",3261,786,782,4,70,70,0,52,52,0,664,660,4
"DC","11001006400",369,93,93,0,7,7,0,7,7,0,79,79,0
"DC","11001006500",512,90,88,2,11,11,0,3,3,0,76,74,2
"DC","11001006600",317,79,79,0,6,6,0,7,7,0,66,66,0
"DC","11001006700",246,69,69,0,3,3,0,3,3,0,63,63,0
"DC","11001006801",244,57,57,0,6,6,0,0,0,0,51,51,0
"DC","11001006802",222,48,48,0,4,4,0,1,1,0,43,43,0
"DC","11001006804",328,83,83,0,6,6,0,1,1,0,76,76,0
"DC","11001006900",296,46,46,0,6,6,0,3,3,0,37,37,0
"DC","11001007000",627,136,136,0,17,17,0,4,4,0,115,115,0
"DC","11001007100",838,216,216,0,8,8,0,8,8,0,200,200,0
"DC","11001007200",1337,414,412,2,21,21,0,6,6,0,387,385,2
"DC","11001007301",121,40,40,0,0,0,0,0,0,0,40,40,0
