"GEOID","pop_dens","perc_minority","perc_female","perc_genz","perc_millenial","perc_genx","perc_boomer","perc_retiree","perc_divsep","perc_widowed","median_age","perc_foreign","median_earnings","perc_cars","perc_trans","perc_mbike","perc_bike","perc_walk","perc_wfm","perc_lowedu","perc_hsged","perc_bs","perc_grad","perc_unemp","perc_pov","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36081092800",11076.6666666667,0.0318988865482997,0.42551910923864,0.240144447788143,0.107132109539573,0.277460126391815,0.291002106530244,0.0842612097502257,0.0279867589527535,0.0312970207643695,47.6,0,70081,0.371652121576888,0.0577791152572976,0,0.00300932891965092,0.0138429130303942,0.0198615708696961,0.00601865783930184,0.215467950647006,0.221185675594342,0.13000300932892,0.0138429130303942,0.0177550406259404,"NYC",74,24,0,0,24,0
"36081014100",25071.4285714286,0.53960113960114,0.431339031339031,0.13960113960114,0.438746438746439,0.273504273504274,0.110541310541311,0.0376068376068376,0.0991452991452991,0.0336182336182336,31.9,0.273504273504274,31645,0.0854700854700855,0.482051282051282,0,0.0170940170940171,0.052991452991453,0.00797720797720798,0.0353276353276353,0.27977207977208,0.214245014245014,0.0712250712250712,0.0558404558404558,0.125356125356125,"NYC",201,63,3,0,63,0
"36047005202",41066.6666666667,0.144074675324675,0.529220779220779,0.138798701298701,0.230925324675325,0.24512987012987,0.346590909090909,0.0385551948051948,0.086038961038961,0.0673701298701299,43.8,0.0600649350649351,70051,0.169642857142857,0.331574675324675,0,0,0.00852272727272727,0.018262987012987,0.0142045454545455,0.214691558441558,0.277191558441558,0.162337662337662,0.0353084415584416,0.127840909090909,"NYC",89,19,1,0,18,1
"36047036002",135400,0.121614967996061,0.588380108321024,0.133924175283112,0.144017725258493,0.18439192516002,0.267848350566224,0.269817823732152,0.191038897095027,0.183407188577056,57.9,0.258493353028065,21182,0.0627769571639586,0.192269817823732,0,0,0.0433284096504185,0.0135401280157558,0.0147710487444609,0.320777941900542,0.161989167897587,0.126046282619399,0.0652387986213688,0.426390940423437,"NYC",129,16,9,0,16,0
"36081065702",28600,0.237762237762238,0.550699300699301,0.134615384615385,0.190559440559441,0.294871794871795,0.273892773892774,0.106060606060606,0.117132867132867,0.0536130536130536,48.8,0.111305361305361,45788,0.223776223776224,0.1497668997669,0,0,0.0168997668997669,0.00407925407925408,0.0372960372960373,0.363636363636364,0.0891608391608392,0.0885780885780886,0.0413752913752914,0.104895104895105,"NYC",131,35,6,0,35,0
"36081010400",47428.5714285714,0.939457831325301,0.537650602409639,0.134939759036145,0.274397590361446,0.303915662650602,0.251807228915663,0.0349397590361446,0.0647590361445783,0.0406626506024096,41.5,0.270180722891566,29871,0.198795180722892,0.337951807228916,0,0,0.0168674698795181,0.00180722891566265,0.0768072289156626,0.371686746987952,0.0933734939759036,0.0237951807228916,0.061144578313253,0.109638554216867,"NYC",254,73,15,0,73,0
"36005005001",129525,0.990928392202278,0.515344528083382,0.306697548735765,0.247828604516503,0.264041690793283,0.150357073923953,0.031075082030496,0.0775911986103069,0.0343563018722254,30.8,0.247056552789037,23696,0.0654313839027215,0.232194557035321,0,0,0.0457440648523451,0.00849256900212314,0.0281798880524995,0.198996332754295,0.0411117544875507,0.0254777070063694,0.056359776104999,0.37791932059448,"NYC",92,26,11,1,25,1
"36047063200",32920,0.19501822600243,0.519441069258809,0.176184690157959,0.181652490886999,0.276427703523694,0.232077764277035,0.133657351154313,0.114823815309842,0.0771567436208992,47.2,0.0297691373025516,50481,0.196233292831106,0.181652490886999,0,0.00303766707168894,0.020048602673147,0.023086269744836,0.031591737545565,0.261239368165249,0.171324422843256,0.102673147023086,0.0571081409477521,0.0783718104495747,"NYC",44,15,3,0,15,0
"36081006501",85450,0.27735517846694,0.552077238150965,0.0939145699239321,0.485371562317145,0.231421884142774,0.148039789350497,0.0412521942656524,0.077530719719134,0.0327677004095963,32.8,0.190462258630778,44440,0.0845523698069046,0.514043300175541,0.00263311878291398,0.0102399063779988,0.0593914569923932,0.0201872440023406,0.0547103569338795,0.14979520187244,0.311878291398479,0.17407840842598,0.0128730251609128,0.121123464014043,"NYC",145,31,2,0,31,0
"36047078000",41883.3333333333,0.969359331476323,0.577397532829288,0.165141265419817,0.262634301631516,0.255073617190609,0.24950258654994,0.0676482292081178,0.0871468364504576,0.0477516912057302,39.7,0.0887385594906486,35093,0.179068842021488,0.294468762435336,0,0,0.00517309988062077,0,0.0254675686430561,0.291683247115002,0.179864703541584,0.068842021488261,0.0449661758853959,0.0362116991643454,"NYC",212,105,12,0,105,0
"36047040700",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYC",210,57,3,0,57,0
"36047011600",69816.6666666667,0.893530675578897,0.516829792313201,0.259250417760802,0.306755788971115,0.266650751969444,0.107901647171163,0.0594413941274767,0.0515636190021485,0.0403437574600143,31.2,0.432561470518023,16983,0.130102649797088,0.287896872761996,0,0,0.055383146335641,0,0.0814036762950585,0.174265934590594,0.0467892098352829,0.0143232275005968,0.0243494867510146,0.335163523513965,"NYC",187,46,27,0,46,0
"36081017400",36628.5714285714,0.986349453978159,0.544071762870515,0.205148205928237,0.223088923556942,0.315522620904836,0.223088923556942,0.0331513260530421,0.121294851794072,0.046801872074883,39.8,0.164976599063963,31006,0.225039001560062,0.191107644305772,0,0.00351014040561622,0.0062402496099844,0.00195007800312012,0.0842433697347894,0.301482059282371,0.101404056162246,0.0230109204368175,0.0694227769110764,0.135335413416537,"NYC",177,70,2,1,68,2
"36061024301",112625,0.821753607103219,0.476581576026637,0.148057713651498,0.403107658157603,0.237735849056604,0.181132075471698,0.0299667036625971,0.106548279689234,0.0410654827968923,33.4,0.196670366259711,25841,0.0639289678135405,0.370921198668146,0,0.0051054384017758,0.0468368479467259,0.0401775804661487,0.0403995560488346,0.260377358490566,0.158046614872364,0.0872364039955605,0.0648168701442841,0.251720310765816,"NYC",166,43,11,0,43,0
