"GEOID","pop_dens","race_white","race_minority","female","age_genz","age_millenial","age_genx","age_boomer","age_retiree","divsep","widowed","median_age","not_us_citizen","median_earnings","trav_cars","trav_trans","trav_motorcycle","trav_bike","trav_walk","trav_home","edu_lowedu","edu_hsged","edu_bs","edu_grad","unemp","below_pov","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36047037402",41475,3149,1828,2622,1061,1038,1325,962,591,385,450,42.3,904,27647,476,1064,0,0,303,266,139,1032,844,658,277,859,"NYC",246,53,22,0,53,0
"36005035600",15446.6666666667,61,2256,1331,454,502,588,519,254,227,248,41.5,286,28654,497,500,0,0,35,21,104,715,324,105,84,190,"NYC",358,135,19,0,135,0
"36081084000",28827.2727272727,386,5956,3456,1510,1507,1752,1417,156,505,268,37,1047,28382,1643,1027,0,0,79,113,440,1968,499,87,348,942,"NYC",401,139,15,0,139,0
"36005021301",38233.3333333333,49,1098,709,363,253,317,206,8,176,28,33.2,184,21373,107,310,0,0,43,25,77,275,78,33,46,524,"NYC",225,73,9,0,73,0
"36047102600",48960,87,2361,1412,496,549,694,609,100,186,114,40,246,42894,587,658,0,0,32,17,67,929,337,147,64,176,"NYC",118,39,5,0,39,0
"36081069400",19075,123,3692,2181,920,1108,970,698,119,464,142,33.8,609,37323,1090,782,0,0,0,18,84,1125,528,205,188,537,"NYC",230,83,10,0,83,0
"36061027900",177328.571428571,1882,10531,6958,2253,3911,3329,2362,558,1779,419,35.2,3563,23376,717,4062,0,16,653,386,675,2599,1482,763,642,2306,"NYC",383,71,28,0,71,0
"36005021601",71850,501,3810,2236,1115,1137,1282,581,196,522,97,34.2,934,17904,339,956,0,0,70,29,265,1222,283,48,443,2064,"NYC",354,102,25,0,102,0
"36061014402",105785.714285714,6445,960,4299,1101,2081,1914,1592,717,550,348,40.4,526,85606,523,2789,0,55,562,408,46,359,2324,2023,188,361,"NYC",424,90,23,0,90,0
"36005021302",102516.666666667,65,6086,3858,1958,1777,1379,907,130,708,340,30,1381,24638,335,1471,0,0,269,1,422,1165,392,112,269,2065,"NYC",199,51,9,0,51,0
